Name,Ort,Webseite,Twitter,Kurzbeschreibung,Experimentierfelder,Finanzierung
CORRECTIV,"Essen, Berlin",https://correctiv.org,@correctiv_org,"Correctiv ist das erste gemeinnützige Recherchezentrum im deutschsprachigen Raum. Wir recherchieren langfristig zu Missständen in der Gesellschaft, fördern Medienkompetenz und führen Bildungsprogramme durch. Unsere Arbeit finanziert sich über Spenden von Bürgern und Stiftungen.","Audience Relationship, Content, Funding",Crowd-Funding
Daniel Drepper,Berlin,https://www.buzzfeed.com/de/danieldrepper/buzzfeed-news-deutschland-transparenz-reporterinnen-reporter,@danieldrepper,"Daniel Drepper ist Chefredakteur von BuzzFeed Deutschland. Für seine Recherchen erhielt unter anderem den Wächterpreis, den Axel-Springer-Preis und den Ernst-Schneider-Preis. / editor in chief @BuzzFeedGermany; board member @nrecherche. before: co-founder @correctiv_org; @columbiajourn. More: http://bzfd.it/ueber-news",Content,Employed
Daniel Fiene,Düsseldorf,https://danielfiene.com,@fiene,Digitalstrategie @RPONLINE. Moderator @Antenne Düsseldorf & @DLFnova. Gründer von @wasmitmedien. 2012 Co-Host @Rundshow.,"Content, Technology",Employed
Data Corrupter,Düsseldorf,"https://thedatacorrupter.org
https://www.grey.com
https://orange.handelsblatt.com",,"Browser-Plugin das digitale Filterblase platzen lässt: Jedes Mal, wenn ein Nutzer auf Facebook einen Post liked, addiert der Corrupter automatisch eine Vielzahl weiterer, zufällig ausgewählter Likes. Dem Nutzer selbst und seinem sozialen Netzwerk werden diese nicht angezeigt, für Analysten sind die Daten damit jedoch unbrauchbar.",Technology,Misc. Capital
Datawrapper,Bad Honnef,https://www.datawrapper.de/,@datawrapper,"Enrich your stories with charts, in seconds.","Technology, Content",Misc. Capital
Datenfreunde,"Hamburg, Berlin",https://datenfreunde.com,@datenfreunde,Wir sind spezialisiert auf Audio-Analysen und innovative Nachrichtendistribution. Unseren Kunden bieten wir qualitativ hochwertige Services für einen markengerechten Auftritt auf Smart Speakern und Voice Assistants.,"Technology, Content","Grant, Misc. Capital"
Deine Korrespondentin,Berlin,https://www.deine-korrespondentin.de,@deine_korri,"Wir erzählen andere Geschichten. Wir erzählen Geschichten anders.
Wir sind „Deine Korrespondentin“. Mit diesem digitalen Magazin wollen wir die Sichtbarkeit von Frauen erhöhen. Wir präsentieren: Die besten Geschichten von Frauen aus der ganzen Welt.

Wir, das sind zehn Korrespondentinnen, die in alle Himmelsrichtungen verteilt sind. Wir zeigen, was es heutzutage bedeutet, als multimediale Journalistin zu arbeiten. Wir sorgen für Transparenz und wirken damit auch der aktuellen Glaubwürdigkeitskrise der Medien entgegen.","Content, Audience Relationship",Misc. Capital
Dekoder,Hamburg,"https://dekoder.org, https://newsinitiative.withgoogle.com/dnifund/dni-projects/data-driven-donation-encourager/",@dekoder_org,Die Internetplattform dekoder.org (Eigenschreibung: дekoder oder dekoder bzw. dekoder.org) verbindet russischen Journalismus in deutscher Übersetzung mit kontextualisierenden Beiträgen europäischer Wissenschaftler. Der Slogan der Website lautet Russland entschlüsseln.,Content,Grant
Der Kontext,München,https://www.derkontext.com/,@DerKontext,"Das interaktive Hintergrundmagazin! Eintauchen. Entdecken. Verstehen. / Bei „Der Kontext“ gehst du auf eine spannende Entdeckungsreise durch komplexe Themen. Spielerisch, umfassend, mit Tiefgang.",Content,Venture Capital
Digger - Deepfake Detection,Bonn,newsinitiative.withgoogle.com/dnifund/dni-projects/digger-deepfake-detection/,@DeepfakeDigger,"Digger will detect deepfakes by using state-of-the-art audio forensics technologies. A project by @dw_innovation, @iLabATC and @Fraunhofer_IDMT",Technology,Grant
Digidip,Berlin,https://www.digidip.net,@digidip_net,The world's largest premium content and performance analytics network,Technology,Misc. Capital
Dirk von Gehlen,München,https://dirkvongehlen.de,@dvg,"Ich bin Journalist, Autor und Vortragsredner (Foto oben: Shruggie-Vortrag auf der TEDx-Münster) Ich lebe in München – und im Internet. Bei der Süddeutschen Zeitung leite ich die Abteilung Social Media / Innovation und befasse mich mit der digitalen Transformation von Kultur, Gesellschaft und Unternehmen. Ich schreibe Bücher (gerade ist das Shruggie-Buch ¯\_(ツ)_/¯ „Das Pragmatismus-Prinzip“ erschienen), halte Vorträge und gebe Seminare. Auf dieser Seite können Sie meine Vita und Fotos einsehen. Aktuell überlege ich, einen Heimat- und Brauchtumsverein für Menschen zu gründen, die im Internet Zuhause sind.",Content,Employed
docupy,Köln,www1.wdr.de/fernsehen/docupy,@docupy,Wir besetzen gesellschaftspolitische Themen dokumentarisch in Filmen und online. Mehrere Reporter fokussieren sich sechs Monate lang mit verschiedenen Blickwinkeln auf ein Thema. Dieses Mal: #Heimatland.,Content,Misc. Capital
dpa-newslab,Hamburg,"https://www.dpa.com/de/produkte-services/portale-apps-labs/newslab/,
https://innovation.dpa.com/","@dpa_newslab
@gkamp","Das in der Tochterfirma dpa-infocom GmbH angesiedelte dpa-newslab ist die Innovationseinheit der dpa Deutsche Presse-Agentur. Aktuelle Arbeitsschwerpunkte sind Research, Consulting und Produktentwicklung rund um die Themen APIs und Apps für die Inhalte der dpa-Gruppe sowie die Integration und Auswertung von Metadaten/Linked Data in Nachrichten-Feeds.",Technology,Misc. Capital
DW Innovation,"Berlin, Bonn",http://blogs.dw.com/innovation/,@dw_innovation,DW Innovation: DW ReCo + DW Lab. We work on tools and concepts to improve media production workflows and storytelling.,"Technology, Content",Misc. Capital
Edition F,Berlin,https://editionf.com,@editionf_com,"Das digitale Zuhause für Frauen, die sich in Job und Leben verwirklichen wollen. Und ihre Freunde.","Content, Audience Relationship",Misc. Capital
Editorial Insights Engine,Hamburg,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/editorial-insights-engine/, bauerxcel.com, bauermedia.com","@bauermediagroup
@bauerxcel (gelöscht)","Bauer Xcel Media, die Digitaleinheit der Bauer Media Group, arbeitet an einem Datenanalyse-Tool. Dieses soll Datenmaterial aus verschiedenen Quellen einsammeln, verständlich aufbereiten und daraus Insights für Journalisten bereitstellen, die auf dieser Basis die Relevanz ihrer Inhalte für den Leser steigern können.",Technology,Misc. Capital
Electric Elephant Publishing,Hamburg,https://www.electricelephantpublishing.de/,@JorisZierold,"Electric Elephant Publishing arbeitet in einer Medienwelt, in der Print und digitale Formate um Nutzerrealitäten herum gestaltet werden. Unsere Inhalte entstehen aus der Interaktion und Kommunikation mit Usern, Unternehmen und Daten. Diese Medienwelt ist unser Atelier und alle, die mit uns in Austausch treten, werden Teil unserer Reise in die Zukunft der Medien.",Content,Venture Capital
F.A.Z. Personalisation: Content layers for a regional focus,Frankfurt,https://newsinitiative.withgoogle.com/dnifund/dni-projects/FAZ-personalisation/,@faznet,"Die FAZ arbeitet an einer technologischen Lösung, um im Digitalen mehr regionale Inhalte anbieten zu können. Im Fokus steht die FAZ.net News-App, in der Inhalte über die Rhein-Main-Region für Nutzer mit entsprechenden Interessen bereitgestellt werden sollen. Die Idee ist, durch einen höheren Grad an persönlicher Relevanz der Inhalte die Nutzerbindung zu erhöhen und damit die Conversion ins Abonnement zu steigern.",Technology,Grant
FactFox,München,https://www.factfox.io/,@factfoxDE,"Mit automatisierten Antworten soll die Arbeit für Social-Media-Redakteure vereinfacht werden. Das Tool ""FactFox"" schlägt dem Redakteur ""passgenau ermittelte Antwortmöglichkeiten auf Nutzerkommentare vor und ermöglicht so ein schnelleres Beantworten"", sagt Gründerin Miriam Mogge. Durch die automatische Erfassung neuer Fakten im Redaktionsalltag soll die Antwortdatenbank weiter wachsen. Erprobt wurde das Tool bereits von der Nachrichtenagentur dpa, jetzt soll die App weiter ergänzt und an Medienhäuser verkauft werden.",Technology,Venture Capital
FanMatics,Hamburg,https://fanmatics.com,@fanmatics,Convert with Social Rewards. Boost your signups with FanMatics. Let your audience unlock digital rewards through social interaction. Never mess with reward logistics ever again.,Technology,"Venture Capital, Misc. Capital"
Follow the Grant,Berlin,"https://hrist.io, https://portfolio.vaz.io",@hristio,"Mit Follow The Grant entsteht im Rahmen der MIZ-Innovationsförderung seit Anfang Juli ein gemeinnütziges Tool, das Daten zu möglichen Interessenskonflikten in der Forschung für JournalistInnen auffindbar macht.","Content, Technology",Grant
Friedrich Lindenberg,"Berlin, Sarajevo",http://pudo.org/,@pudo,Data guy and leak librarian. Working on tools for investigative reporting @occrp.,Technology,Employed
funk,Stuttgart,https://funk.net,"Nur in z.B.:
@Y_Kollektiv 
@jaegersammler 
@gutearbeit",funk [fʊŋk] ist ein Online-Medienangebot und Content-Netzwerk der ARD und des ZDF für Jugendliche und junge Erwachsene zwischen 14 und 29 Jahren.[1] ARD und ZDF sind gemeinsam Träger und gleichberechtigte rundfunkrechtliche Veranstalter des Angebots. Die Federführung liegt beim Südwestrundfunk (SWR).,"Organizational Structure, Content",Public Funding
GPStory,Berlin,"https://miz-babelsberg.de/gpstory, 
sansho.studio",@studio_sansho,"GPStory entwickelt GPS-basierte, datengesteuerte Hörspiel-Formate, die auf Bewegung und Interaktion der Nutzer reagieren.","Technology, Content, Audience Relationship",Grant
Greenhouse Innovation Lab,Hamburg,https://www.greenhouse.media/,@jue,"Greenhouse is Gruner+Jahr's innovation lab. We invest in internal and external start-up teams. By leveraging design thinking and lean start-up tools, we help them validate their ideas, build prototypes, develop business models, and deliver awesome products. 
G+J reaches readers and users in more than 30 countries with over 500 media activities, magazines and digital offers. In 2014, the G+J's net sales totaled €1.7bn.","Content, Technology, Business Model",Misc. Capital
Hannah Suppa,Hannover,www.madsack.de,"@hannah_suppa
@madsack","Mag Lokaljournalismus, die Menschen von nebenan und das Internet ❤️ / Chefredakteurin Digitale Transformation im Regionalen @madsack @rndnewsroom",Content,Employed
Harald Meier,,"https://smrfoundation.org, https://digitalspacelab.com",,"Harald is network analyst with geographical background. He founded the Digital Space Lab in 2011 where he conducts a variety of network analyses on social, economic and political topics. In 2015 Harald joined team NodeXL at the Social Media Research Foundation and is an expert in analyzing and visualizing network data. Digital Space Lab: ""Our work is divided into two main areas: The first major field of work is the development of the research methodology and the programming of an appropriate research software. The second major field of work includes the production of individually tailored network analyses in the light of different discourses on globalization.""",Technology,Misc. Capital
Helloguide,Hamburg,https://helloguide.ai,@helloguide_ai,Engage Your Mobile Audience. Upload your content and get a ready-to-use chatbot.,"Technology, Content","Venture Capital, Misc. Capital"
Hendrik Lehmann,Berlin,"https://digitalpresent.tagesspiegel.de/
https://kress.de/news/detail/beitrag/141979-hendrik-lehmann-leitet-neues-tagesspiegel-innovation-lab.html",@plateauton,"Journalist. Head of @Tagesspiegel Innovation Lab. Team #radmesser. Founder of @BerlinDigital. #dataviz, #JoT, #berlin, digital sociology & urban politics.","Technology, Content",Employed
HHLab,Hamburg,"https://www.hhlab.de
https://newsinitiative.withgoogle.com/dnifund/dni-projects/learning-content/, https://www.hhlab.de/learning-content/","@HHLAB_de
@Dreykluft","Das HHLab ist die F&E-Einheit für digitalen Journalismus von @noz_de, @shz_de und @SVZonline. / Die NOZ Medien arbeitet derweil in ihrem Entwicklungslabor HH Lab in Hamburg an einer Technologie zur interessensbasierten Aussteuerung von Inhalten. Das Projekt trägt den Namen 'Learning Content' und soll genau das leisten: ein Tool, dass Artikel- und Themenempfehlungen auf Basis der Verhaltensweisen der Nutzer gibt. Damit sollen die von Facebook und Google bekannten Mechanismen, Nutzern Inhalte entsprechend ihrer Interessen und ihres Verhaltens anzubieten, künftig auch von Verlagen für deren Angebote genutzt werden können.","Technology, Content",Misc. Capital
Hostwriter,Berlin,hostwriter.org,@Hostwriter,Award-winning network that helps journalists to easily collaborate across borders.,"Technology, Audience Relationship",Misc. Capital
Huffpost Deutschland,München,"https://www.huffingtonpost.de/
https://www.morgenpost.de/wirtschaft/article216184759/Deutsche-Huffington-Post-wird-Ende-Maerz-eingestellt.html",@HuffPostDE,"Die Seite für aktuelle Nachrichten, kontroverse Meinungen und den konstruktiven Blick auf die Welt.",,Misc. Capital
hyScore,,https://www.hyscore.io,@hyscoreio,"hyScore, a Berlin-based company founded in May 2017, is an independent, cross-industry provider of innovative Natural Language Processing (NLP) solutions combined with Machine Learning (ML). With the flexible hyScore solutions, texts, websites, audios and videos can be analyzed in real time. The technology can be individually trained and adapted to special requirements.",Technology,Misc. Capital
Identifying & Monetising Evergreen Content,Münster,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/identifying-monetising-evergreen-content-round-5/
 aschendorff.de/",,"Readers love the relevant reading mix of up-to-date articles and interesting “evergreens"". Evergreen content is articles that stay relevant for long periods of time. We want to develop a smart content scoring model that allows us to identify, foster and monetise evergreen content. Articles with high scores are relevant to the readers and remain in the reading offer. This increases the reach, the loyalty of the reader and his willingness to pay for content. Evergreen content adds value to a paid digital membership.","Technology, Content",Grant
InnoLab der HMS,Hamburg,"https://www.hamburgmediaschool.com/forschung-labs/labs/innolab
https://www.mediummagazin.de/haltung-bitte/","@HHMediaSchool
@Augstein","Im InnoLab der HMS wird den Medieninnovationen und Branchentrends von morgen und übermorgen nachgespürt. Durch die systematische Analyse von Innovationen und Trends in den Bereichen Medien, Marketing und Management wird so wertvolles Zukunftswissen generiert.","Technology, Funding",Misc. Capital
Ippen Digital,München,https://ippen-digital.de,@ID_gmbh,Vier Schichten machen die Publishing-Plattform von Ippen Digital aus. Als digitales Full-Service-Angebot ermöglicht sie auch externen Verlagen überdurchschnittliches Wachstum.,Technology,Misc. Capital
Isabelle Klein,"Köln, Leipzig","https://detektor.com, geschichten.detektor.fm/musik/pop-ist-kein-weisser-heterosexueller-mann/, www.miz-babelsberg.de/klick-pop, isabelleklein.de",@huiahoi,"Isabelle Klein und André Beyer zusammen mit detektor.fm für ihre musikjournalistische Scrollytelling-Doku ""Pop ist kein weißer, heterosexueller Mann"" mit dem International Music Journalism Award 2017 (IMJA) in der Kategorie „Beste musikjournalistische Arbeit U30“ ausgezeichnet!",Content,Employed
Isabelle Sonnenfeld,Berlin,https://newsinitiative.withgoogle.com/google-news-lab,@isasun,"Isa Sonnenfeld leitet seit 2015 das Google News Lab für Deutschland, Österreich und die Schweiz. In ihrer Funktion arbeitet sie mit Verlagen, Redaktionen und Journalisten sowie Medien-Startups zusammen daran, Innovation im digitalen Journalismus zu stärken und ein nachhaltiges Nachrichten-Ökosystem zu schaffen. Bevor Isa Sonnenfeld im Oktober 2015 zu Google kam war sie 2011 die erste Angestellte bei Twitter Deutschland. In ihrer Funktion als Head of News, Government & Politics für die DACH-Region war sie verantwortlich für den Markteinstieg, die Geschäftsentwicklung und die Zusammenarbeit mit politischen Organisationen sowie der Medienbranche. 2015 rief sie die Event- und Podcastreihe RoleModels ins Leben, um weibliche Vorbilder sichtbarer zu machen. 2018 wurde sie von Edition F. als eine von „25 Frauen, die unsere Wirtschaft revolutionieren“ ausgezeichnet.",Technology,Employed
Jakob Vicari,"Berlin, Lüneburg",https://jakobvicari.de,@vicari,Freelance Creative Technologist,"Technology, Content","Grant, Self-Funded"
Jetzt,München,http://jetzt.de,@jetzt,"Was junge Menschen jetzt bewegt: Aktuelles mit Tiefe - aus Gesellschaft, Liebe und Sex, Studium und Job, Politik und Popkultur, Musik, TV und Kino.",Content,Misc. Capital
Jochen Spangenberg,"Berlin, Bonn","https://revealproject.eu, jospang.wordpress.com, http://blogs.dw.com/innovation/","@jospang
@RevealEU","About (Social Media) VERIFICATION. Focus: journalism & news. Project results living on in @InVID_EU, @WeVerify and @trulymedia. Contact: @jospang",Technology,Employed
Jochen Wegner,Berlin,https://about.me/jochen,@jochen,"Editor-in-chief of ZEIT ONLINE, Germany's most popular premium news site, and editorial board member of DIE ZEIT, Germany's most widely read weekly newspaper. Winner of the ""Digital Leader 2018"" award from the German Lead Awards, the ""Grimme Online Award"" for the democracy project ""Germany Talks,"" and the 2018 ""Scoop Award"" for digital journalism. Named German ""editor-in-chief of the year"" in 2016.","Content, Technology, Audience Relationship",Employed
Joel Kaczmarek,Berlin,"https://www.digitalkompakt.de
https://www.gruenderszene.de/",@Indivijoel,"Joel Kaczmarek ist Gründer und Chefredakteur des Onlinemagazins Digital Kompakt. In der Fachpublikation setzt sich Kaczmarek analytisch und tiefgründig mit der deutschen Digitalwirtschaft auseinander. Zuvor leitete er vier Jahre lang als Chefredakteur das Onlinemagazin Gründerszene und war Mitgründer des dahinter stehenden Vertical Media Verlags, der im Juni 2014 vom Axel Springer Verlag übernommen wurde.",Content,Employed
Johnny Häusler,Berlin,http://www.spreeblick.com/,@spreeblick,"Johnny Haeusler (* 21. August 1964 in Berlin als Jörg Haeusler) ist ein deutscher Musiker, Blogger, Mediendesigner, Autor und Radio-Journalist. Er ist Frontmann der Rockband Plan B sowie Mitbegründer und Veranstalter der re:publica, einer seit 2007 jährlich in Berlin stattfindenden Veranstaltung rund um das Web 2.0.",Content,"Grant, Misc. Capital"
Jornu,,https://jornu.com/,@jornuDE,"Wir sind ein Journalismusprojekt, das vom Media Lab Bayern finanziert wird. Wir bauen eine Plattform, auf der du Journalisten abonnieren kannst. Hier ist unser erster kleiner Pilotversuch, wie das laufen könnte. Das ist nur ein Mini-Test: Wir freuen uns über Feedback und Wünsche von euch, denn wir wollen dieses Projekt gemeinsam mit euch entwickeln!","Audience Relationship, Technology",Venture Capital
Julia Berger,Berlin,,"@j_brgr
@BusinessPunkMag","Julia Berger ist seit dem 01.01.2018 Leiterin Digital bei Business Punk und hat dort mit großem Erfolg die beiden Dossiers Female Leadership und Nachhaltigkeit eingeführt. Bereits seit August 2016 war sie zuvor in der Digital-Redaktion der G+J Wirtschaftsmedien in Berlin tätig. Bis Ende 2019 ist sie zudem Stipendiatin des Digital Journalism Fellowships der Hamburg Media School, dem ersten durch Facebook geförderten Stipendienprogramm in Deutschland, das sich an Journalist*innen wendet.",Content,Employed
